model,samples,burn,lag,verbose,chain,experiment
aa-hom-adding,1000,7500,100,false,0,replication
aa-hom-adding,1000,7500,100,false,1,replication
aa-hom-adding,1000,7500,100,false,2,replication
aa-hom-adding,1000,7500,100,false,3,replication
aa-hom-adding,1000,7500,100,false,4,replication
mas-het-simple-adding,1000,7500,100,false,0,replication
mas-het-simple-adding,1000,7500,100,false,1,replication
mas-het-simple-adding,1000,7500,100,false,2,replication
mas-het-simple-adding,1000,7500,100,false,3,replication
mas-het-simple-adding,1000,7500,100,false,4,replication
mas-hom-adding,1000,7500,100,false,0,replication
mas-hom-adding,1000,7500,100,false,1,replication
mas-hom-adding,1000,7500,100,false,2,replication
mas-hom-adding,1000,7500,100,false,3,replication
mas-hom-adding,1000,7500,100,false,4,replication
rsa-het-simple,1000,7500,100,false,0,replication
rsa-het-simple,1000,7500,100,false,1,replication
rsa-het-simple,1000,7500,100,false,2,replication
rsa-het-simple,1000,7500,100,false,3,replication
rsa-het-simple,1000,7500,100,false,4,replication
rsa-het-speakers,1000,7500,50,false,0,replication
rsa-het-speakers,1000,7500,50,false,1,replication
rsa-het-speakers,1000,7500,50,false,2,replication
rsa-het-speakers,1000,7500,50,false,3,replication
rsa-het-speakers,1000,7500,50,false,4,replication
rsa-hom,1000,7500,50,false,0,replication
rsa-hom,1000,7500,50,false,1,replication
rsa-hom,1000,7500,50,false,2,replication
rsa-hom,1000,7500,50,false,3,replication
rsa-hom,1000,7500,50,false,4,replication
rsa-het-speakers-hi,1000,2000,50,false,0,replication
rsa-het-speakers-hi,1000,2000,50,false,1,replication
rsa-het-speakers-hi,1000,2000,50,false,2,replication
rsa-het-speakers-hi,1000,2000,50,false,3,replication
rsa-het-speakers-hi,1000,2000,50,false,4,replication
